CODICE_UNITA_UG;CODICE_FISCALE;RAGIONE_SOCIALE;DESC_FG;FG;CODICE_REG
19672750;03865390870;CONSORZIO ISOLE DEI CICLOPI;Consorzio di diritto pubblico;2740;19
19724320;91215060376;AGENZIA REGIONALE PER LE EROGAZIONI IN AGRICOLTURA - EMILIA ROMAGNA (AGREA);Ente di sviluppo agricolo regionale o di altro ente locale;2753;08
21632255;91015850927;ISTITUZIONE SCUOLA CIVICA DI MUSICA;Altro ente pubblico non economico locale;2791;20
42341;00227560133;COMUNE DI ROVELLO PORRO;Comune;2430;03
43474;00232070235;COMUNE DI VILLAFRANCA DI VERONA;Comune;2430;05
43558;00232420331;COMUNE DI CASTEL SAN GIOVANNI;Comune;2430;08
43765;00233330521;COMUNE DI BUONCONVENTO;Comune;2430;09
44774;00238520167;COMUNE DI VERTOVA;Comune;2430;03
45262;00240930164;COMUNE DI BOLGARE;Comune;2430;03
45701;00242970366;COMUNE DI SAVIGNANO SUL PANARO;Comune;2430;08
46395;00246270169;COMUNE DI GANDINO;Comune;2430;03
27713502;90030910393;ENTE DI GESTIONE PER I PARCHI E LA BIODIVERSITA' - ROMAGNA;Ente parco;2751;08
28055293;10771180014;AZIENDA OSPEDALIERO UNIVERSITARIA CITTA' DELLA SALUTE E DELLA SCIENZA DI TORINO;Azienda o ente del servizio sanitario nazionale;2500;01
30452243;02613260187;AGENZIA DI TUTELA DELLA SALUTE DI PAVIA;Azienda o ente del servizio sanitario nazionale;2500;03
31370337;02892040300;AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA STATI UNITI D'AMERICA;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;06
31401591;92286630287;CONSIGLIO DI BACINO PADOVA SUD;Consorzio di diritto pubblico;2740;05
31574392;91016750498;COMUNE DI RIO;Comune;2430;09
800000093;00306180720;COMUNE DI MOLFETTA;Comune;2430;16
13688;00113390389;COMUNE DI BONDENO;Comune;2430;08
14290;00115790149;COMUNE DI CHIAVENNA;Comune;2430;03
16268;00124360538;COMUNE DI MONTE ARGENTARIO;Comune;2430;09
16354;00124750076;COMUNE DI SAINT-VINCENT;Comune;2430;02
17697;00131190712;ARCA CAPITANATA;Altro ente pubblico non economico locale;2791;16
19698;00140940925;ENTE ACQUE DELLA SARDEGNA -ENAS;Altro ente pubblico non economico locale;2791;20
20555;00144100765;COMUNE DI MARATEA;Comune;2430;17
25540;00162960918;COMUNE DI TONARA;Comune;2430;20
27219;00168550317;CONSORZIO CULTURALE DEL MONFALCONESE;Consorzio di diritto pubblico;2740;06
27665;00170090112;COMUNE DI BORGHETTO DI VARA;Comune;2430;07
28644;00173840422;COMUNE DI OSTRA VETERE;Comune;2430;11
29294;00176790707;COMUNE DI MACCHIA VALFORTORE;Comune;2430;14
31159;00183800341;COMUNE DI LANGHIRANO;Comune;2430;08
197073;00998690580;COMUNE DI PALOMBARA SABINA;Comune;2430;12
200159;01013470297;AZIENDA ULSS N. 5 POLESANA;Azienda o ente del servizio sanitario nazionale;2500;05
205785;01038700991;AZIENDA SOCIOSANITARIA LIGURE 4;Azienda o ente del servizio sanitario nazionale;2500;07
224289;01120620057;AZIENDA SANITARIA LOCALE DI ASTI - ASL AT;Azienda o ente del servizio sanitario nazionale;2500;01
239828;01186830764;AZIENDA OSPEDALIERA REGIONALE SAN CARLO DI POTENZA;Azienda o ente del servizio sanitario nazionale;2500;17
242963;01201390638;CONSORZIO INTERCOMUNALE SERVIZI ISCHIA IN LIQUIDAZIONE;Consorzio di diritto pubblico;2740;15
250364;01230950170;COMUNE DI POMPIANO;Comune;2430;03
264291;01286080211;KONSORTIUM SENIORENDIENSTE PASSEIER;Consorzio di diritto pubblico;2740;04
302593;01455570562;AZIENDA SANITARIA LOCALE VITERBO;Azienda o ente del servizio sanitario nazionale;2500;12
332652;01582160832;COMUNE DI FLORESTA;Comune;2430;19
382979;01810260024;AZIENDA SANITARIA LOCALE DI BIELLA;Azienda o ente del servizio sanitario nazionale;2500;01
408949;01948180649;AZIENDA OSPEDALIERA S.GIUSEPPE MOSCATI;Azienda o ente del servizio sanitario nazionale;2500;15
416126;01991520790;AZIENDA OSPEDALIERA PUGLIESE - CIACCIO;Azienda o ente del servizio sanitario nazionale;2500;18
416128;01991530799;AZIENDA OSPEDALIERO-UNIVERSITARIA RENATO DULBECCO;Azienda o ente del servizio sanitario nazionale;2500;18
423610;02032910156;COMUNE DI NOVATE MILANESE;Comune;2430;03
459352;02241850367;AZIENDA USL DI MODENA;Azienda o ente del servizio sanitario nazionale;2500;08
501239;02573090236;AZIENDA ULSS N.9 SCALIGERA;Azienda o ente del servizio sanitario nazionale;2500;05
514090;02772010878;UNIVERSITA' DEGLI STUDI DI CATANIA;Universita' pubblica;2620;19
526716;03029240151;COMUNE DI TREZZANO SUL NAVIGLIO;Comune;2430;03
528885;03063770154;COMUNE DI BUSSERO;Comune;2430;03
548802;03482920158;COMUNE DI BUCCINASCO;Comune;2430;03
551008;03524191008;ISTITUTO STORICO ITALIANO PER L'ETA' MODERNA E CONTEMPORANEA;Altro ente pubblico non economico nazionale;2790;12
554904;03611890157;COMUNE DI RONCO BRIANTINO;Comune;2430;03
558264;80017070725;COMUNE DI MODUGNO;Comune;2430;16
39826;00217860667;COMUNE DI SAN VINCENZO VALLE ROVETO;Comune;2430;13
40656;00221370802;COMUNE DI MAMMOLA;Comune;2430;18
40847;00222050429;GROTTE DI FRASASSI S.R.L.;Consorzio di diritto pubblico;2740;11
46576;00247040082;COMUNE DI VASIA;Comune;2430;07
46718;00247620164;COMUNE DI CAROBBIO DEGLI ANGELI;Comune;2430;03
47083;00249160243;COMUNE DI CARRE';Comune;2430;05
47268;00249830225;COMUNE DI ARCO;Comune;2430;04
48421;00254640121;COMUNE DI CITTIGLIO;Comune;2430;03
49378;00258950245;COMUNE DI ROMANO D'EZZELINO;Comune;2430;05
50126;00262110828;ISTITUTO REGIONALE DEL VINO E DELL'OLIO;Istituto o ente pubblico di ricerca;2711;19
52276;00271230120;COMUNE DI CUVEGLIO;Comune;2430;03
117186;00622450138;COMUNE DI PREMANA;Comune;2430;03
117361;00623340932;CRO - CENTRO DI RIFERIMENTO ONCOLOGICO DI AVIANO;Istituto o ente pubblico di ricerca;2711;06
120469;00638820639;COMUNE DI CIMITILE;Comune;2430;15
122769;00651610131;COMUNE DI DORIO;Comune;2430;03
123196;00653830216;AGENZIA DEMANIO PROVINCIALE - AGENTUR LANDESDOMAENE;Altro ente pubblico non economico locale;2791;04
124603;00661130237;COMUNE DI DOLCE';Comune;2430;05
125260;00665240131;COMUNE DI CORRIDO;Comune;2430;03
125747;00668140239;COMUNE DI BOSCO CHIESANUOVA;Comune;2430;05
129148;00686080136;COMUNE DI OLTRONA DI SAN MAMETTE;Comune;2430;03
129702;00689050136;COMUNE DI DOSSO DEL LIRO;Comune;2430;03
53270;00275230092;COMUNE DI MIOGLIA;Comune;2430;07
53473;00276040086;COMUNE DI ARMO;Comune;2430;07
54539;00280280033;COMUNE DI MARANO TICINO;Comune;2430;01
56016;00286650502;COMUNE DI TERRICCIOLA;Comune;2430;09
56727;00289930331;CONSORZIO FITOSANITARIO PROVINCIALE DI PIACENZA;Altro ente pubblico non economico locale;2791;08
56967;00290910223;COMUNE DI SAGRON MIS;Comune;2430;04
62898;00316690197;COMUNE DI TORNATA;Comune;2430;03
64263;00323920199;COMUNE DI PERSICO DOSIMO;Comune;2430;03
64491;00325190270;COMUNE DI SAN MICHELE AL TAGLIAMENTO;Comune;2430;05
64936;00327580197;COMUNE DI SCANDOLARA RAVARA;Comune;2430;03
65132;00328940168;COMUNE DI CAMERATA CORNELLO;Comune;2430;03
65437;00330820838;COMUNE DI NIZZA DI SICILIA;Comune;2430;19
66113;00334990447;COMUNE DI FERMO;Comune;2430;11
66802;00339070187;COMUNE DI FILIGHERA;Comune;2430;03
67458;00342670163;COMUNE DI SERINA;Comune;2430;03
68753;00349960047;COMUNE DI VIGNOLO;Comune;2430;01
69475;00354000135;COMUNE DI SAN FERMO DELLA BATTAGLIA;Comune;2430;03
70078;00357180447;COMUNE DI MONTEFALCONE APPENNINO;Comune;2430;11
71353;00364600031;COMUNE DI SAN NAZZARO SESIA;Comune;2430;01
71923;00368260063;COMUNE DI BOSIO;Comune;2430;01
73332;00376490793;COMUNE DI FALERNA;Comune;2430;18
74363;00382520427;UNIVERSITA' POLITECNICA DELLE MARCHE DI ANCONA;Universita' pubblica;2620;11
75702;00389450503;COMUNE DI FAUGLIA;Comune;2430;09
77884;00402030209;COMUNE DI POGGIO RUSCO;Comune;2430;03
79882;00414320218;COMUNE DI TUBRE;Comune;2430;04
80761;00419860218;COMUNE DI VELTURNO;Comune;2430;04
81212;00422420588;"ISTITUTO ZOOPROFILATTICO SPERIMENTALE DEL LAZIO E DELLA TOSCANA ""M. ALEANDRI""";Azienda o ente del servizio sanitario nazionale;2500;12
81649;00424960136;COMUNE DI INVERIGO;Comune;2430;03
83739;00436130041;COMUNE DI DIANO D'ALBA;Comune;2430;01
94688;00493530208;COMUNE DI CERESARA;Comune;2430;03
96842;00505610162;COMUNE DI BEDULITA;Comune;2430;03
97558;00509320552;"AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA ""BEATA LUCIA""";Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;10
99771;00520490186;COMUNE DI MARCIGNAGO;Comune;2430;03
100822;00526230263;CASA DI RICOVERO FRANCESCO FENZI;Istituto pubblico di assistenza e beneficenza;2712;05
102038;00533010138;COMUNE DI LIPOMO;Comune;2430;03
103301;00542010160;COMUNE DI LOCATELLO;Comune;2430;03
103713;00544790132;COMUNE DI CASSINA RIZZARDI;Comune;2430;03
104391;00549740827;COMUNE DI LASCARI;Comune;2430;19
105090;00554740654;COMUNE DI MONTECORVINO ROVELLA;Comune;2430;15
106655;00564460129;COMUNE DI VIZZOLA TICINO;Comune;2430;03
112353;00598360139;COMUNE DI VALSOLDA;Comune;2430;03
113114;00602460131;COMUNE DI LURAGO MARINONE;Comune;2430;03
116043;00616910139;COMUNE DI MONTANO LUCINO;Comune;2430;03
707590;80011830561;CONSORZIO PER LA GESTIONE DELLE BIBLIOTECHE COMUNALE DEGLI ARDENTI E PROVINCIALE ANSELMO ANSELMI DI VITERBO;Consorzio di diritto pubblico;2740;12
707880;80012470573;COMUNE DI TARANO;Comune;2430;12
707965;80012690212;FONDAZIONE CASA DI RIPOSO HEINRICH VON ROTTENBURG;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
708697;80014550307;UNIVERSITA' DEGLI STUDI DI UDINE;Universita' pubblica;2620;06
129919;00690170139;COMUNE DI CASTELMARTE;Comune;2430;03
131395;00698230133;COMUNE DI CARUGO;Comune;2430;03
132040;00702120106;COMUNE DI ROSSIGLIONE;Comune;2430;07
133203;00709050231;COMUNE DI SALIZZOLE;Comune;2430;05
133452;00710510801;COMUNE DI LAGANADI;Comune;2430;18
11119657;00392760021;COMUNE DI CAMBURZANO;Comune;2430;01
11119679;00395370786;COMUNE DI SAN VINCENZO LA COSTA;Comune;2430;18
11119812;00408940401;COMUNE DI PORTICO E SAN BENEDETTO;Comune;2430;08
11119894;00415950039;COMUNE DI INVORIO;Comune;2430;01
11119971;00423600030;COMUNE DI GARBAGNA NOVARESE;Comune;2430;01
11119996;00426370037;COMUNE DI DOMODOSSOLA;Comune;2430;01
11120007;00427770656;COMUNE DI VIETRI SUL MARE;Comune;2430;15
11120040;00429660038;COMUNE DI BOGOGNO;Comune;2430;01
11120052;00430850024;COMUNE DI BURONZO;Comune;2430;01
11120076;00432840106;COMUNE DI CARASCO;Comune;2430;07
11120085;00433350030;COMUNE DI BELGIRATE;Comune;2430;01
11120184;00440730356;COMUNE DI FABBRICO;Comune;2430;08
11120247;00444850069;COMUNE DI SALA MONFERRATO;Comune;2430;01
11120376;84002490542;COMUNE DI CERRETO DI SPOLETO;Comune;2430;10
11120471;00456230069;COMUNE DI ALFIANO NATTA;Comune;2430;01
11120549;00462560756;COMUNE DI VEGLIE;Comune;2430;16
11120591;00465340065;COMUNE DI VILLAROMAGNANO;Comune;2430;01
11120611;00466980307;COMUNE DI TRICESIMO;Comune;2430;06
11120629;00467840138;COMUNE DI COLONNO;Comune;2430;03
11120642;00468840046;COMUNE DI PAMPARATO;Comune;2430;01
11120652;00469220065;COMUNE DI BISTAGNO;Comune;2430;01
11120771;00478640048;COMUNE DI CERESOLE ALBA;Comune;2430;01
11120876;00487760043;COMUNE DI ALBARETTO DELLA TORRE;Comune;2430;01
11120945;00495640633;COMUNE DI POMPEI;Comune;2430;15
11121015;00502410061;COMUNE DI POZZOL GROPPO;Comune;2430;01
11121252;00520690041;COMUNE DI CASTIGLIONE FALLETTO;Comune;2430;01
11121266;84000610794;COMUNE DI SOVERATO;Comune;2430;18
11121344;00528310121;COMUNE DI BRENTA;Comune;2430;03
11121444;00540190659;COMUNE DI LAVIANO;Comune;2430;15
11121498;00547920652;COMUNE DI TORCHIARA;Comune;2430;15
11121578;00553920042;COMUNE DI CRAVANZANA;Comune;2430;01
11121730;00564900041;COMUNE DI ARGUELLO;Comune;2430;01
11121895;00579440165;COMUNE DI AZZONE;Comune;2430;03
699971;80001790601;COMUNE DI CEPRANO;Comune;2430;12
700229;80002130815;OPERA PIA CASA DI OSPITALITA A.MANGIONE;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;19
700261;80002170720;UNIVERSITA' DEGLI STUDI DI BARI ALDO MORO;Universita' pubblica;2620;16
700288;80002210070;ENTE PARCO NAZIONALE GRAN PARADISO;Ente parco;2751;01
700365;80002290627;COMUNITA' MONTANA DEL TABURNO;Comunita' montana o isolana;2440;15
700691;80002670810;COMUNE DI CUSTONACI;Comune;2430;19
701799;80003910900;COMUNE DI SENNORI;Comune;2430;20
701890;80004010841;COMUNE DI COMITINI;Comune;2430;19
703266;80005550647;COMUNE DI SALZA IRPINA;Comune;2430;15
703373;80005670072;CASA DI RIPOSO J.B. FESTAZ APSP;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;02
703750;80006130647;COMUNE DI PRATOLA SERRA;Comune;2430;15
703775;80006170247;CENTRO SERVIZI CA' ARNALDI;Istituto pubblico di assistenza e beneficenza;2712;05
706953;80010650333;ISTITUTO EMILIO BIAZZI - I.P.A.B. STRUTTURA PROTETTA;Istituto pubblico di assistenza e beneficenza;2712;08
710391;80019600925;UNIVERSITA' DEGLI STUDI DI CAGLIARI;Universita' pubblica;2620;20
711052;80022830568;OPERA PIA CARENZI;Istituto pubblico di assistenza e beneficenza;2712;12
712749;80038770378;CONSORZIO DEI PARTECIPANTI;Altro ente pubblico non economico locale;2791;08
727232;85001580134;COMUNE DI AIRUNO;Comune;2430;03
727251;85001680132;CONSORZIO BRIANTEO VILLA GREPPI;Consorzio di diritto pubblico;2740;03
727275;85001850164;COMUNE DI DOSSENA;Comune;2430;03
727329;85002310010;PENSIONATO REGINA ELENA;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;01
727794;86000110832;CENTRO SOCIO ASSISTENZIALE PER ANZIANI SCIACCA BARATTA;Istituto pubblico di assistenza e beneficenza;2712;19
727978;86001990224;ROSA DEI VENTI A.P.S.P.;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
728033;86002510153;COMUNE DI ROBECCHETTO CON INDUNO;Comune;2430;03
728110;86003530184;COMUNE DI CECIMA;Comune;2430;03
728510;87001490157;COMUNE DI BERNAREGGIO;Comune;2430;03
728659;88002390172;COMUNE DI PRALBOINO;Comune;2430;03
714261;80088230018;UNIVERSITA' DEGLI STUDI DI TORINO;Universita' pubblica;2620;01
717009;81000950709;COMUNE DI LUCITO;Comune;2430;14
717064;81001050855;COMUNE DI CAMPOFRANCO;Comune;2430;19
717184;81001270446;COMUNE DI MONTE SAN PIETRANGELI;Comune;2430;11
717248;81001370303;AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA ARDITO DESIO;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;06
717735;81002190809;COMUNE DI GERACE;Comune;2430;18
717756;81002230225;COMUNE DI SAMONE;Comune;2430;04
717968;81002610178;COMUNE DI PASPARDO;Comune;2430;03
718106;81002910669;COMUNE DI AVEZZANO;Comune;2430;13
718293;81003370418;COMUNE DI SERRA SANT'ABBONDIO;Comune;2430;11
718418;81003670130;COMUNE DI NOVEDRATE;Comune;2430;03
718799;81004790093;APSP ISTITUTO DOMENICO TRINCHERI;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;07
719898;82000050664;COMUNE DI RIVISONDOLI;Comune;2430;13
720098;82000370286;CASA DI SOGGIORNO E PENSIONATO DELLA CITTA' MURATA;Istituto pubblico di assistenza e beneficenza;2712;05
720197;82000510667;COMUNE DI CIVITELLA ALFEDENA;Comune;2430;13
720384;82000810018;CASA DI RIPOSO AVV. G. FORCHINO;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;01
720426;82000870616;COMUNE DI CAPRIATI A VOLTURNO;Comune;2430;15
720649;82001250263;COMUNE DI GODEGA DI SANT'URBANO;Comune;2430;05
720694;82001330800;COMUNE DI SAN PIETRO DI CARIDA';Comune;2430;18
720876;82001670262;COMUNE DI REFRONTOLO;Comune;2430;05
721008;82001910874;COMUNE DI SAN CONO;Comune;2430;19
721203;82002220844;CONSORZIO ACQUEDOTTO TRE SORGENTI;Consorzio di diritto pubblico;2740;19
721229;82002270625;COMUNE DI CASTELFRANCO IN MISCANO;Comune;2430;15
721321;82002470423;COMUNE DI SAN MARCELLO;Comune;2430;11
721449;82002790267;COMUNE DI SAN FIOR;Comune;2430;05
721590;82003130166;COMUNE DI CAPRINO BERGAMASCO;Comune;2430;03
721882;82004050702;AZIENDA AUTONOMA DI SOGGIORNO E TURISMO DI TERMOLI;Ente per il turismo;2754;14
723912;83001570163;COMUNE DI PALOSCO;Comune;2430;03
724013;83001790183;COMUNE DI ZEME;Comune;2430;03
724098;83001990874;COMUNE DI LINGUAGLOSSA;Comune;2430;19
724471;83002990261;COMUNE DI POSSAGNO;Comune;2430;05
724489;83003050727;A.S.P. AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA FRANCESCO T;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;16
724627;83003560154;COMUNE DI RENATE;Comune;2430;03
724670;83003750102;COMUNE DI RAPALLO;Comune;2430;07
724788;83004360034;ENTE DI GESTIONE DELLE AREE PROTETTE DELL'OSSOLA;Ente parco;2751;01
725567;84000470181;COMUNE DI CAMPOSPINOSO ALBAREDO;Comune;2430;03
725601;84000620223;A.P.S.P. GIACOMO CIS;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
725645;84000770267;COMUNE DI COLLE UMBERTO;Comune;2430;05
725697;84000940654;COMUNE DI VALLE DELL'ANGELO;Comune;2430;15
725798;84001350242;COMUNE DI ASIAGO;Comune;2430;05
726019;84002450223;A.P.S.P. RESIDENZA MOLINO;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
726135;84003010638;COMUNE DI OTTAVIANO;Comune;2430;15
726676;84009900246;COMUNE DI COGOLLO DEL CENGIO;Comune;2430;05
726868;84503080156;COMUNE DI VALERA FRATTA;Comune;2430;03
726924;84506650153;COMUNE DI PIEVE FISSIRAGA;Comune;2430;03
11117086;00180280554;COMUNE DI GUARDEA;Comune;2430;10
11117115;00181620667;COMUNE DI OPI;Comune;2430;13
11117215;00187590666;COMUNE DI CAPORCIANO;Comune;2430;13
11117244;00190090035;COMUNE DI BELLINZAGO NOVARESE;Comune;2430;01
11117258;00191250653;COMUNE DI SANT'EGIDIO DEL MONTE ALBINO;Comune;2430;15
11117267;00192140051;COMUNE DI CASTEL ROCCHERO;Comune;2430;01
11117294;00194940938;COMUNE DI FIUME VENETO;Comune;2430;06
11117360;00199350695;COMUNE DI ARIELLI;Comune;2430;13
11117561;00217050418;COMUNE DI PENNABILLI;Comune;2430;08
11117583;00219310562;COMUNE DI CELLERE;Comune;2430;12
736398;91001750073;AZIENDA USL DELLA VALLE D'AOSTA;Azienda o ente del servizio sanitario nazionale;2500;02
2251571;00136120219;AZIENDA DI SOGGIORNO E TURISMO DI BOLZANO;Ente per il turismo;2754;04
2386967;00435110218;COMUNE DI BRUNICO;Comune;2430;04
716776;81000590893;COMUNE DI MELILLI;Comune;2430;19
716833;81000680231;ISTITUTO ASSISTENZA ANZIANI VILLA SPADA;Istituto pubblico di assistenza e beneficenza;2712;05
716845;81000690818;CASA DEI FANCIULLI RENDA FERRARI;Istituto pubblico di assistenza e beneficenza;2712;19
6853399;00374380228;APSP CRISTANI DE LUCA;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
7020803;01124240225;AZIENDA PUBBLICA SERVIZI ALLA PERSONA 'UBALDO CAMPAGNOLA';Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
7510845;80007890082;CASA DI RIPOSO SEN. B. BORELLI ASP;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;07
7512362;80009810286;CENTRO RESIDENZIALE ANZIANI UMBERTO I;Istituto pubblico di assistenza e beneficenza;2712;05
7514864;80013710324;AZIENDA PUBBLICA DI SRVIZI ALLA PERSONA ITIS;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;06
7516306;80016510820;ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROVINCIA DI PALERMO;Altro ente pubblico non economico locale;2791;19
7566535;93009730669;PARCO NATURALE REGIONALE SIRENTE VELINO;Ente parco;2751;13
8278454;00251130621;CONSORZIO ACQUEDOTTO TRA I COMUNI DI FRAGNETO MONFORTE E FRAGNETO L'ABATE;Consorzio di diritto pubblico;2740;15
9148112;80024840631;CONSORZIO CIMITERIALE DEI COMUNI DI FRATTAMAGGIORE, GRUMO NEVANO E FRATTAMINORE;Consorzio di diritto pubblico;2740;15
9176581;86001190221;CONSORZIO DEI COMUNI DELLA PROVINCIA DI TRENTO COMPRESI NEL BACINO IMBRIFERO MONTANO DEL CHIESE;Consorzio di diritto pubblico;2740;04
10697267;80005250677;COMUNE DI PIETRACAMELA;Comune;2430;13
10697279;00259680122;COMUNE DI INARZO;Comune;2430;03
10697300;00315680413;COMUNE DI SAN LEO;Comune;2430;08
10700893;80002510560;COMUNE DI GALLESE;Comune;2430;12
10701070;81001210657;COMUNE DI SAN MAURO CILENTO;Comune;2430;15
10701121;82003610050;COMUNE DI BRUNO;Comune;2430;01
10713133;00190560466;COMUNE DI CAMAIORE;Comune;2430;09
10713561;00613010404;COMUNE DI MONTEGRIDOLFO;Comune;2430;08
10736719;82007030214;COMUNE DI LANA;Comune;2430;04
10739039;95551120017;CONSORZIO INTERCOMUNALE DI SERVIZI C.I.DI S.;Consorzio di diritto pubblico;2740;01
10780742;80014020822;OPERA PIA TELESINO - ARDIZZONE;Istituto pubblico di assistenza e beneficenza;2712;19
11094766;80008780217;Stiftung Pilsenhof OEBPB;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
11097398;82000010890;ISTITUTO EDUCATIVO ASSISENZIALE FEMMINILE ALETTA;Istituto pubblico di assistenza e beneficenza;2712;19
11115970;00053930384;COMUNE DI COPPARO;Comune;2430;08
11115990;00060850906;COMUNE DI MONTI;Comune;2430;20
11116038;00071720957;COMUNE DI MILIS;Comune;2430;20
11116045;00072260953;COMUNE DI SANTA GIUSTA;Comune;2430;20
11116057;00073740953;COMUNE DI MOGORELLA;Comune;2430;20
11116064;00074180951;COMUNE DI SIRIS;Comune;2430;20
11116072;00074760950;COMUNE DI TADASUNI;Comune;2430;20
11116138;00088910575;COMUNE DI ROCCANTICA;Comune;2430;12
11116690;00151990827;COMUNE DI BELMONTE MEZZAGNO;Comune;2430;19
11116885;00166930347;COMUNE DI NOCETO;Comune;2430;08
11116964;00170500565;COMUNE DI CELLENO;Comune;2430;12
11117772;00232870295;OPERA PIA FRANCESCO BOTTONI;Istituto pubblico di assistenza e beneficenza;2712;05
11117801;00235390663;COMUNE DI CASTEL DI IERI;Comune;2430;13
11117849;00240710699;COMUNE DI CANOSA SANNITA;Comune;2430;13
