ANNO;ATECO25;ATECO22;CODICE_FISCALE;CODICE_REG;CODICE_UNITA;RAGIONE_SOCIALE;DESCRIZIONE_FORMA GIURIDICA;FG;FLAG_S13;STATO;
2025;49120;49310;00132330879;19;17935;GESTIONE GOVERNATIVA FERROVIA CIRCUMETNEA;Altri enti e istituzioni pubbliche locali;1620;1;1;
2025;84111;84111;00853240174;03;163830;COMUNE DI COLLEBEATO;Comuni;2430;1;1;
2025;84111;84111;80009800139;03;706387;COMUNE DI CARATE URIO;Comuni;2430;1;1;
2025;84111;84111;01473430013;01;11128724;COMUNE DI SANT'ANTONINO DI SUSA;Comuni;2430;1;1;
2025;84111;84111;00471000307;06;11120672;COMUNE DI MAGNANO IN RIVIERA;Comuni;2430;1;1;
2025;85690;85600;90009000432;11;21621111;CONSORZIO INTERUNIVERSITARIO ITALIANO PER L'ARGENTINA - C.U.I.A.;Consorzi interuniversitari di ricerca;1710;1;1;
2025;84111;84111;00417260031;01;80343;COMUNE DI NIBBIOLA;Comuni;2430;1;1;
2025;84111;84111;01135570370;08;228007;COMUNE DI CASALECCHIO DI RENO;Comuni;2430;1;1;
2025;84111;84111;00223640129;03;41302;COMUNE DI SOLBIATE OLONA;Comuni;2430;1;1;
2025;70200;70220;01415800059;01;24685565;"SERVIZI IDRICI ASTIGIANO MONFERRATO,SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA (SIGLABILE ""SIAM S.C.A.R.L."" CON O SENZA PUNTI DI INTERPUNZIONE)";Altri enti e istituzioni pubbliche locali;1520;1;1;
2025;84111;84111;00070680707;14;5528;COMUNE DI SAN GIULIANO DI PUGLIA;Comuni;2430;1;1;
2025;72102;72190;02887320659;15;3429864;CONSORZIO INTERUNIVERSITARIO PER LA PREVISIONE E PREVENZIONE GRANDI RISCHI;Consorzi interuniversitari di ricerca;2711;1;1;
2025;84111;84111;94616010156;03;25616978;AMMINISTRAZIONE PROVINCIALE  DI  MONZA  E  DELLA  BRIANZA;Province e Città Metropolitane;2420;1;1;
2025;84111;84111;00433810066;01;11120091;COMUNE DI AVOLASCA;Comuni;2430;1;1;
2025;84111;84111;83002690432;11;10701144;COMUNE DI SANT'ANGELO IN PONTANO;Comuni;2430;1;1;
2025;84111;84111;00502410061;01;11121015;COMUNE DI POZZOL GROPPO;Comuni;2430;1;1;
2025;84111;84111;80000390650;15;698990;AMMINISTRAZIONE PROVINCIALE DI SALERNO;Province e Città Metropolitane;2420;1;1;
2025;84111;84111;00298150798;18;58685;COMUNE DI FABRIZIA;Comuni;2430;1;1;
2025;91420;91040;93009730669;13;7566535;PARCO NATURALE REGIONALE SIRENTE VELINO;Consorzi e enti gestori di parchi e aree naturali protette;2751;1;1;
2025;84132;84131;85001170241;05;7554372;CONSORZIO DEL BACINO IMBRIFERO MONTANO DELL'AGNO VI;Consorzio di Bacino Imbrifero Montano;2740;1;1;
2025;91110;91010;05459031000;12;12597045;CONSORZIO SISTEMA CASTELLI ROMANI - SERVIZI BIBLIOTECARI, CULTURALI E TURISTICI;Consorzi tra amministrazioni locali;2740;1;1;
2025;64990;64993;04102891001;12;576628;SOCIETA' ITALIANA PER LE IMPRESE ALL'ESTERO - SIMEST S.P.A.                     ;Enti produttori di servizi economici;1310;1;1;
2025;61200;61909;07791571008;12;21554277;INFRASTRUTTURE E TELECOMUNICAZIONI PER L'ITALIA S.P.A IN FORMA ABBREVIATA INFRATEL ITALIA S.P.A.;Enti produttori di servizi economici;1350;1;1;
2025;84111;84111;80101630152;03;714745;COMUNE DI LOCATE DI TRIULZI;Comuni;2430;1;1;
2025;91420;91040;90055990635;15;23352793;ENTE PARCO REGIONALE DEI MONTI LATTARI;Consorzi e enti gestori di parchi e aree naturali protette;2751;1;1;
2025;84111;84111;00484760301;06;93047;COMUNE DI COLLOREDO DI MONTE ALBANO;Comuni;2430;1;1;
2025;84111;84111;00070460704;14;5465;COMUNE DI SANT'ELIA A PIANISI;Comuni;2430;1;1;
2025;84111;84111;80008750731;16;705696;COMUNE DI TARANTO;Comuni;2430;1;1;
2025;84111;84111;00176730240;05;29274;COMUNE DI TRISSINO;Comuni;2430;1;1;
2025;84111;84111;91009990606;12;18688516;COMUNE DI BELMONTE CASTELLO;Comuni;2430;1;1;
2025;84111;84111;80003810050;01;701693;COMUNE DI REFRANCORE;Comuni;2430;1;1;
2025;84111;84111;00465330306;06;11120590;COMUNE DI BERTIOLO;Comuni;2430;1;1;
2025;72200;72200;00724660725;16;6925983;FONDAZIONE PUGLIESE DI RICERCHE ECONOMICHE E SOCIALI - I.P.R.E.S.;Agenzia ed enti regionali e provinciali per la formazione, la ricerca e l'ambiente;1720;1;1;
2025;90310;90040;91070780357;08;741748;FONDAZIONE I TEATRI;Altri enti e istituzioni pubbliche locali;1720;1;1;
2025;84134;84136;91005020804;18;17990363;AUTORITA' DI SISTEMA PORTUALE DEI MARI TIRRENO MERIDIONALE E IONIO;Autorita' portuali;2752;1;1;
2025;84111;84111;97179120825;19;21026736;UNIONE DEI COMUNI VALLE DEL TORTO E DEI FEUDI;Unioni di comuni;2450;1;1;
2025;84111;84111;81003670759;16;11140502;COMUNE DI CASTRO;Comuni;2430;1;1;
2025;84111;84111;80001070202;03;699440;AMMINISTRAZIONE PROVINCIALE DI MANTOVA;Province e Città Metropolitane;2420;1;1;
2025;84122;84122;80185250588;12;12511223;MINISTERO DELL'ISTRUZIONE E DEL MERITO;Presidenza del Consiglio dei Ministri e Ministeri;2220;1;1;
2025;84111;84111;00441090065;01;11120196;COMUNE DI CASTELNUOVO BORMIDA;Comuni;2430;1;1;
2025;84111;84111;83504710159;03;725429;COMUNE DI VIGNATE;Comuni;2430;1;1;
2025;84111;84111;80001890047;01;11135745;COMUNE DI RITTANA;Comuni;2430;1;1;
2025;84111;84111;80003070077;02;11135981;COMUNE DI ROISAN;Comuni;2430;1;1;
2025;84111;84111;80003590058;01;11136120;COMUNE DI ISOLA D'ASTI;Comuni;2430;1;1;
2025;84111;84111;80005290038;01;11136562;COMUNE DI SILLAVENGO;Comuni;2430;1;1;
2025;84111;84111;00388560781;18;11119615;COMUNE DI BIANCHI;Comuni;2430;1;1;
2025;84111;84111;00407860212;04;11119798;COMUNE DI FUNES;Comuni;2430;1;1;
2025;84111;84111;00420860041;01;11119929;COMUNE DI BAROLO;Comuni;2430;1;1;
2025;84111;84111;81000450643;15;716672;COMUNE DI GROTTAMINARDA;Comuni;2430;1;1;
2025;91420;91040;91005860258;05;738438;ENTE PARCO NAZIONALE DELLE DOLOMITI BELLUNESI;Consorzi e enti gestori di parchi e aree naturali protette;2751;1;1;
2025;72101;72110;95032810103;07;760977;CONSORZIO CENTRO BIOTECNOLOGIE AVANZATE - C.B.A. IN LIQUIDAZIONE;Consorzi interuniversitari di ricerca;1510;1;1;
2025;84111;84111;82000930717;16;11141151;COMUNE DI ROSETO VALFORTORE;Comuni;2430;1;1;
2025;84139;84139;02608840399;08;31881765;CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DI FERRARA E RAVENNA;Camere di commercio, industria, artigianato e agricoltura;2720;1;1;
2025;84111;84111;03428581205;08;29821247;CITTA '  METROPOLITANA DI BOLOGNA;Province e Città Metropolitane;2460;1;1;
2025;84111;84111;01633570609;12;344764;AMMINISTRAZIONE PROVINCIALE DI FROSINONE;Province e Città Metropolitane;2420;1;1;
2025;84111;84111;00099190530;09;10246;COMUNE DI SORANO;Comuni;2430;1;1;
2025;84113;84112;97262390582;12;20220462;AGENZIA PER IL CONTROLLO E LA QUALITA' DEI SERVIZI PUBBLICI LOCALI DI ROMA CAPITALE;Altri enti e istituzioni pubbliche locali;2791;1;1;
2025;84111;84111;00249160243;05;47083;COMUNE DI CARRE';Comuni;2430;1;1;
2025;84111;84111;82002410650;15;11141453;COMUNE DI POSTIGLIONE;Comuni;2430;1;1;
2025;84111;84111;00215150236;05;39150;COMUNE DI VERONA;Comuni;2430;1;1;
2025;84111;84111;90003890010;01;12534558;COMUNE DI RIVA PRESSO CHIERI;Comuni;2430;1;1;
2025;84111;84111;00460910037;01;88288;COMUNE DI CUREGGIO;Comuni;2430;1;1;
2025;84111;84111;00309250124;03;61234;COMUNE DI VENEGONO INFERIORE;Comuni;2430;1;1;
2025;84111;84111;91010090230;05;17842252;UNIONE DEI COMUNI ADIGE GUA';Unioni di comuni;2450;1;1;
2025;84111;84111;81002050250;05;800000716;UNIONE MONTANA DELLA VALLE DEL BOITE;Unioni di comuni;2450;1;1;
2025;84111;84111;00173390667;13;28528;COMUNE DI PRATOLA PELIGNA;Comuni;2430;1;1;
2025;84111;84111;01791460015;01;11130679;COMUNE DI VILLASTELLONE;Comuni;2430;1;1;
2025;84111;84111;00296440092;07;58313;COMUNE DI DEGO;Comuni;2430;1;1;
2025;84111;84111;81001310200;03;717211;COMUNE DI CANNETO SULL'OGLIO;Comuni;2430;1;1;
2025;84111;84111;82000250504;09;720014;COMUNE DI SAN MINIATO;Comuni;2430;1;1;
2025;86220;86220;03775430980;03;30452220;AGENZIA DI TUTELA DELLA SALUTE DI BRESCIA;Aziende sanitarie locali;2500;1;1;
2025;84111;84111;80006550919;20;11136855;COMUNE DI BITTI;Comuni;2430;1;1;
2025;88100;88100;02127360598;12;20721509;"AZIENDA SPECIALE ""APRILIA MULTISERVIZI"" IN LIQUIDAZIONE";Altri enti e istituzioni pubbliche locali;1620;1;1;
2025;84111;84111;95230880635;15;30872320;AGENZIA REGIONALE UNIVERSIADI PER LO SPORT - ARUS;Altri enti e istituzioni pubbliche locali;2791;1;1;
2025;84111;84111;81000770404;08;716900;COMUNE DI SARSINA;Comuni;2430;1;1;
2025;84111;84111;80005740925;20;11136697;COMUNE DI DECIMOPUTZU;Comuni;2430;1;1;
2025;55100;55100;06756110158;20;3827162;ASSOTEL S.R.L.             IN LIQUIDAZIONE;Altri enti e istituzioni pubbliche locali;1320;1;1;
2025;84111;84111;80010150284;05;706640;COMUNE DI TEOLO;Comuni;2430;1;1;
2025;84111;84111;80006850640;15;704266;COMUNE DI FORINO;Comuni;2430;1;1;
2025;84111;84111;00440710127;03;84615;COMUNE DI CARONNO PERTUSELLA;Comuni;2430;1;1;
2025;84111;84111;00562780361;08;106384;COMUNE DI FANANO;Comuni;2430;1;1;
2025;84111;84111;00560020125;03;105926;COMUNE DI ORINO;Comuni;2430;1;1;
2025;84111;84111;80001350885;19;699640;COMUNE DI GIARRATANA;Comuni;2430;1;1;
2025;84111;84111;00086680253;05;8028;COMUNE DI LIMANA;Comuni;2430;1;1;
2025;84111;84111;81001890441;11;11140186;COMUNE DI PONZANO DI FERMO;Comuni;2430;1;1;
2025;86100;86101;01127900049;01;226087;AZIENDA OSPEDALIERA S. CROCE E CARLE;Aziende ospedaliere pubbliche;2500;1;1;
2025;84111;84111;02054360017;01;11131755;COMUNE DI LUSERNETTA;Comuni;2430;1;1;
2025;36000;36000;02287640029;03;24109565;MORNAGO PATRIMONIO E SERVIZI S.R.L. IN LIQUIDAZIONE;Altri enti e istituzioni pubbliche locali;1320;1;1;
2025;84111;84111;81002640902;20;717992;COMUNITA' MONTANA GOCEANO;Comunita' montane;2440;1;1;
2025;84111;84111;82000670446;11;720293;COMUNE DI GROTTAMMARE;Comuni;2430;1;1;
2025;84111;84111;80003910462;09;11303603;COMUNE DI PESCAGLIA;Comuni;2430;1;1;
2025;84111;84111;00137850145;03;19086;COMUNE DI FORCOLA;Comuni;2430;1;1;
2025;84111;84111;80013730371;08;708352;COMUNE DI MONTE SAN PIETRO;Comuni;2430;1;1;
2025;84111;84111;02395430065;01;29256269;UNIONE COLLINARE TERRE DI VIGNETI E PIETRA DA CANTONI;Unioni di comuni;2450;1;1;
2025;84111;84111;94059000151;03;30453517;UNIONE DEI COMUNI DI CAMPARADA E LESMO - PRIME TERRE DI BRIANZA;Unioni di comuni;2450;1;1;
2025;84111;84111;00744080177;03;139623;COMUNE DI IDRO;Comuni;2430;1;1;
2025;84111;84111;01562840015;01;11129286;COMUNE DI CARMAGNOLA;Comuni;2430;1;1;
2025;84111;84111;00159030931;06;11116800;COMUNE DI BUDOIA;Comuni;2430;1;1;
2025;38110;38110;02274270020;01;24097885;CONSORZIO OBBLIGATORIO DEI COMUNI DEL VERCELLESE E DELLA VALSESIA PER LA GESTIONE DEI RIFIUTI URBANI - C.O.VE.VA.R;Consorzi tra amministrazioni locali;2740;1;1;
2025;84111;84111;00485480180;03;93198;COMUNE DI GALLIAVOLA;Comuni;2430;1;1;
2025;84111;84111;01577930017;01;11129395;COMUNE DI MONCALIERI;Comuni;2430;1;1;
2025;82300;82300;03267560369;08;25958118;CONSORZIO PER IL FESTIVALFILOSOFIA;Altri enti e istituzioni pubbliche locali;1510;1;1;
2025;84111;84111;01032140582;12;204184;COMUNE DI ALLUMIERE;Comuni;2430;1;1;
2025;84111;84111;00521900241;05;11121262;COMUNE DI CARTIGLIANO;Comuni;2430;1;1;
2025;81300;81300;05097740657;15;28958122;AZIENDA SPECIALE A.S. PAISTOM;Altri enti e istituzioni pubbliche locali;1620;1;1;
2025;94110;94110;97338500586;12;21676016;ASSOCIAZIONE NAZIONALE DEGLI ENTI DI GOVERNO D'AMBITO PER L'IDRICO E I RIFIUTI - ANEA;Enti a struttura associativa;1710;1;1;
2025;84111;84111;00360140446;11;70597;COMUNE DI SAN BENEDETTO DEL TRONTO;Comuni;2430;1;1;
2025;84132;84131;80002490672;13;700527;CONSORZIO DEI COMUNI DEL BACINO IMBRIFERO MONTANO DEL VOMANO E TORDINO;Consorzio di Bacino Imbrifero Montano;2740;1;1;
2025;84139;84139;02627810464;09;33624281;CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DELLA TOSCANA NORD OVEST;Camere di commercio, industria, artigianato e agricoltura;2720;1;1;
2025;91210;91020;80012510220;04;707890;MUSEO DELLE SCIENZE DI TRENTO;Altri enti e istituzioni pubbliche locali;2711;1;1;
2025;84111;84111;01273830057;01;19593752;COMUNITA' COLLINARE VAL TIGLIONE E DINTORNI;Unioni di comuni;2450;1;1;
2025;84111;84111;00197210297;05;34678;COMUNE DI CANDA;Comuni;2430;1;1;
2025;84111;84111;82003270210;04;721643;COMUNE DI SAN MARTINO IN PASSIRIA;Comuni;2430;1;1;
2025;84111;84111;00470710187;03;90253;COMUNE DI PANCARANA;Comuni;2430;1;1;
2025;84111;84111;00136550837;19;18839;COMUNE DI ROMETTA;Comuni;2430;1;1;
2025;84111;84111;91000680149;03;11146330;COMUNITA' MONTANA VALTELLINA DI MORBEGNO;Comunita' montane;2440;1;1;
2025;84111;84111;00296790793;18;10697294;COMUNE DI SIMERI CRICHI;Comuni;2430;1;1;
2025;84111;84111;80003180058;01;11136011;COMUNE DI PENANGO;Comuni;2430;1;1;
2025;84139;84139;01130340456;09;23177112;ISTITUTO DI STUDI E DI RICERCHE - I.S.R.;Altri enti e istituzioni pubbliche locali;1620;1;1;
2025;84111;84111;00320160500;09;63534;COMUNE DI LAJATICO;Comuni;2430;1;1;
2025;84111;84111;00190300053;01;11117245;COMUNE DI SAN MARZANO OLIVETO;Comuni;2430;1;1;
2025;84111;84111;81005750070;02;800000780;UNIONE DEI COMUNI VALDOSTANI EVANCON;Unioni di comuni;2450;1;1;
2025;72102;72190;01320740580;12;272910;AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE - ENEA;Enti e istituzioni di ricerca;2711;1;1;
2025;84111;84111;00071740955;20;11116040;COMUNE DI VILLAURBANA;Comuni;2430;1;1;
2025;84111;84111;00511010043;01;11121124;COMUNE DI MOROZZO;Comuni;2430;1;1;
2025;43220;43220;02064850189;03;21423010;A2E SERVIZI S.R.L. IN LIQUIDAZIONE;Altri enti e istituzioni pubbliche locali;1320;1;1;
2025;84111;84111;00085950053;01;11116120;COMUNE DI MONALE;Comuni;2430;1;1;
2025;84111;84111;00230400681;13;11117737;COMUNE DI PICCIANO;Comuni;2430;1;1;
2025;84111;84111;00390090215;04;75817;PROVINCIA AUTONOMA DI BOLZANO - AUTONOME PROVINZ BOZEN;Province autonome;2420;1;1;
2025;84111;84111;80036030957;20;11139082;COMUNE DI SODDI;Comuni;2430;1;1;
2025;84111;84111;00389910068;01;11119626;COMUNE DI MASIO;Comuni;2430;1;1;
2025;84111;84111;92025410645;15;11117608;COMUNE DI MONTEFALCIONE;Comuni;2430;1;1;
2025;84123;84123;02865400929;20;21602709;ENTE DI GOVERNO DELL'AMBITO DELLA SARDEGNA E.G.A.S.;Enti di governo dei servizi idrici e/o dei rifiuti (ex AATO);2740;1;1;
2025;84300;84300;80015110580;12;708916;ENTE NAZIONALE DI PREVIDENZA ED ASSISTENZA DEI MEDICI E DEGLI ODONTOIATRI - FONDAZIONE ENPAM;Enti nazionali di previdenza e assistenza;1720;1;1;
2025;84111;84111;00707790168;03;133014;COMUNE DI BLELLO;Comuni;2430;1;1;
2025;84111;84111;00850440173;03;163148;COMUNE DI MUSCOLINE;Comuni;2430;1;1;
2025;84111;84111;80004310704;14;702189;COMUNE DI CAMPOCHIARO;Comuni;2430;1;1;
2025;84111;84111;00846420172;03;162252;COMUNE DI BORGO SAN GIACOMO;Comuni;2430;1;1;
2025;84111;84111;00634830632;15;11122417;COMUNE DI PROCIDA;Comuni;2430;1;1;
2025;72102;72190;03845260284;05;20761304;VENETO NANOTECH S.C.R.L. IN LIQUIDAZIONE;Altri enti e istituzioni pubbliche locali;1520;1;1;
2025;84111;84111;80016960280;05;709583;COMUNE DI VILLAFRANCA PADOVANA;Comuni;2430;1;1;
2025;82999;82999;02696250782;18;22216580;CONSORZIO REGIONALE PER L'ENERGIA E LA TUTELA  AMBIENTALE IN SIGLA CRETA;Altri enti e istituzioni pubbliche locali;1510;1;1;
2025;84111;84111;00453550188;03;87046;COMUNE DI MEDE;Comuni;2430;1;1;
2025;84111;84111;03901620017;01;11134300;COMUNE DI BUTTIGLIERA ALTA;Comuni;2430;1;1;
2025;84111;84111;01342090485;09;11128002;COMUNE DI CARMIGNANO;Comuni;2430;1;1;
2025;84111;84111;86501310014;01;11143886;COMUNE DI BORGONE SUSA;Comuni;2430;1;1;
2025;84111;84111;00176620748;16;11117037;COMUNE DI FRANCAVILLA FONTANA;Comuni;2430;1;1;
2025;84111;84111;81007220213;04;719298;COMUNE DI GAIS;Comuni;2430;1;1;
2025;84111;84111;83003420136;03;724580;COMUNE DI SIRONE;Comuni;2430;1;1;
2025;84111;84111;80005850906;20;11136725;COMUNE DI VALLEDORIA;Comuni;2430;1;1;
2025;84111;84111;00383120037;01;11119537;COMUNE DI VAPRIO D'AGOGNA;Comuni;2430;1;1;
2025;84111;84111;81002930022;01;11140403;COMUNE DI DONATO;Comuni;2430;1;1;
2025;84111;84111;01139410011;01;11126627;COMUNE DI SESTRIERE;Comuni;2430;1;1;
2025;84111;84111;87004660582;12;11143938;COMUNE DI GAVIGNANO;Comuni;2430;1;1;
2025;84111;84111;83000790663;13;11142145;COMUNE DI VITTORITO;Comuni;2430;1;1;
2025;84111;84111;86000790823;19;11143656;COMUNE DI BAUCINA;Comuni;2430;1;1;
2025;84111;84111;86000910827;19;11143660;COMUNE DI VENTIMIGLIA DI SICILIA;Comuni;2430;1;1;
2025;84111;84111;80003450717;16;11136085;COMUNE DI ROCCHETTA SANT'ANTONIO;Comuni;2430;1;1;
2025;84111;84111;00174760199;03;28855;COMUNE DI CHIEVE;Comuni;2430;1;1;
2025;84111;84111;00188210462;09;13236407;COMUNE DI PIETRASANTA;Comuni;2430;1;1;
2025;84111;84111;90051070408;08;23352182;UNIONE RUBICONE E MARE;Unioni di comuni;2450;1;1;
2025;36000;36000;00092850577;12;9275;CONSORZIO BASSA SABINA ACQUA PESCHIERA;Altri enti e istituzioni pubbliche locali;2740;1;1;
2025;85402;85420;95315120634;15;34022467;SCUOLA SUPERIORE MERIDIONALE;Istituti di istruzione universitaria pubblici;2620;1;1;
2025;72102;72190;91253790371;08;22295268;CONSORZIO NAZIONALE INTERUNIVERSITARIO PER LA NANOELETTRONICA - IU.NET;Consorzi interuniversitari di ricerca;1510;1;1;
2025;84111;84111;93003450017;01;11151218;COMUNE DI SAMONE;Comuni;2430;1;1;
2025;84111;84111;00374100022;01;11119448;COMUNE DI ARBORIO;Comuni;2430;1;1;
2025;84111;84111;80035910712;16;11139078;COMUNE DI CANDELA;Comuni;2430;1;1;
2025;86100;86102;00124430323;06;16285;IRCCS MATERNO INFANTILE BURLO GAROFOLO;Istituti di ricovero e cura a carattere scientifico pubblici;2711;1;1;
2025;84111;84111;80007730619;15;704977;COMUNE DI ROCCA D'EVANDRO;Comuni;2430;1;1;
2025;84111;84111;80005430931;06;703157;COMUNE DI PRATA DI PORDENONE;Comuni;2430;1;1;
2025;84111;84111;84001510654;15;11142935;COMUNE DI LAURITO;Comuni;2430;1;1;
2025;84111;84111;00669550287;05;11122741;COMUNE DI PERNUMIA;Comuni;2430;1;1;
2025;84111;84111;00233330521;09;43765;COMUNE DI BUONCONVENTO;Comuni;2430;1;1;
2025;84111;84111;80008310379;08;705401;COMUNE DI MALALBERGO;Comuni;2430;1;1;
2025;84111;84111;01617320153;03;340737;COMUNE DI CERIANO LAGHETTO;Comuni;2430;1;1;
2025;84111;84111;00607140407;08;10713532;COMUNE DI MORCIANO DI ROMAGNA;Comuni;2430;1;1;
2025;84111;84111;80002050625;15;10700890;COMUNE DI PADULI;Comuni;2430;1;1;
2025;84111;84111;80001370032;01;11135662;COMUNE DI LANDIONA;Comuni;2430;1;1;
2025;84111;84111;00365230069;01;11119372;COMUNE DI CASAL CERMELLI;Comuni;2430;1;1;
2025;91210;91020;02428570986;03;20733029;BRESCIA MUSEI;Altri enti e istituzioni pubbliche locali;1720;1;1;
2025;84111;84111;84001530306;06;11142936;COMUNE DI RESIUTTA;Comuni;2430;1;1;
2025;84111;84111;80005270642;15;11136556;COMUNE DI TORRE LE NOCELLE;Comuni;2430;1;1;
2025;84111;84111;00242770238;05;45673;COMUNE DI SANT'AMBROGIO DI VALPOLICELLA;Comuni;2430;1;1;
2025;84111;84111;81001670801;18;11140148;COMUNE DI BRUZZANO ZEFFIRIO;Comuni;2430;1;1;
2025;84111;84111;01472860012;01;306237;COMUNE DI GRUGLIASCO;Comuni;2430;1;1;
2025;91420;91040;92053140643;15;20994803;ENTE PARCO REGIONALE DEL PARTENIO;Consorzi e enti gestori di parchi e aree naturali protette;2751;1;1;
2025;84111;84111;00109390146;03;12570;COMUNE DI POGGIRIDENTI;Comuni;2430;1;1;
2025;84111;84111;00482780186;03;92660;COMUNE DI PIEVE DEL CAIRO;Comuni;2430;1;1;
2025;84111;84111;00349960393;08;12502020;COMUNE DI SANT'AGATA SUL SANTERNO;Comuni;2430;1;1;
